% Hand Tracking log file 10/13/2016 5:19:08 PM
%
% parse_left = false
% parse_right = true
% sampling_rate = 0.04
%
%
%
% frame number #0 time: 1.44
1;invalid_hand;0;1.44;
% frame number #1 time: 1.48
1;invalid_hand;1;1.48;
% frame number #25 time: 1.72
1;invalid_hand;25;1.72;
% frame number #29 time: 1.76
1;invalid_hand;29;1.76;
% frame number #35 time: 1.8
1;invalid_hand;35;1.8;
% frame number #49 time: 1.92
1;invalid_hand;49;1.92;
% frame number #51 time: 1.96
1;invalid_hand;51;1.96;
% frame number #57 time: 2
1;invalid_hand;57;2;
% frame number #60 time: 2.04
1;invalid_hand;60;2.04;
% frame number #64 time: 2.08
1;invalid_hand;64;2.08;
% frame number #70 time: 2.12
1;invalid_hand;70;2.12;
% frame number #73 time: 2.16
1;invalid_hand;73;2.16;
% frame number #79 time: 2.2
1;invalid_hand;79;2.2;
% frame number #82 time: 2.24
1;invalid_hand;82;2.24;
% frame number #86 time: 2.28
1;invalid_hand;86;2.28;
% frame number #92 time: 2.32
1;invalid_hand;92;2.32;
% frame number #95 time: 2.36
1;invalid_hand;95;2.36;
% frame number #99 time: 2.4
1;invalid_hand;99;2.4;
% frame number #104 time: 2.44
1;invalid_hand;104;2.44;
% frame number #110 time: 2.48
1;invalid_hand;110;2.48;
% frame number #113 time: 2.52
1;invalid_hand;113;2.52;
% frame number #117 time: 2.56
1;invalid_hand;117;2.56;
% frame number #123 time: 2.6
1;invalid_hand;123;2.6;
% frame number #126 time: 2.64
1;invalid_hand;126;2.64;
% frame number #132 time: 2.68
1;invalid_hand;132;2.68;
% frame number #136 time: 2.72
1;invalid_hand;136;2.72;
% frame number #139 time: 2.76
1;invalid_hand;139;2.76;
% frame number #145 time: 2.8
1;invalid_hand;145;2.8;
% frame number #148 time: 2.84
1;invalid_hand;148;2.84;
% frame number #154 time: 2.88
1;invalid_hand;154;2.88;
% frame number #158 time: 2.92
1;invalid_hand;158;2.92;
% frame number #163 time: 2.96
1;invalid_hand;163;2.96;
% frame number #167 time: 3
1;invalid_hand;167;3;
